Country,Legal Status,Citation Date,Log Price,Log Volume
Russia,Legal to mine  Banking ban,2022-01-20,"[10.79757357442209, 10.598889688771438]","[10.96612718074542, 10.157354276493178]"
Russia,Legal to mine  Banking ban,2019-03-22,"[8.287125725029204, 8.56474449327446]","[13.455988708289448, 13.606528754056159]"
Russia,Legal to mine  Banking ban,2017-09-08,"[8.116357351691736, 8.436351831571608]","[11.483084622959208, 11.175632891965114]"
Russia,Legal to mine  Banking ban,2017-09-16,"[8.361451246197486, 8.65857121852706]","[11.755714768531274, 11.024513436041138]"
Russia,Legal to mine  Banking ban,2017-09-04,"[8.090341001426426, 8.347282302698755]","[11.979172045338252, 11.06788758174224]"
Russia,Legal to mine  Banking ban,2016-12-20,"[6.590987625635259, 6.797047156997715]","[10.766799359619396, 10.975755865864636]"
Russia,Legal to mine  Banking ban,2021-10-14,"[10.759550458859797, 11.072847172725712]","[11.087206627834796, 10.320222252902523]"
Russia,Legal to mine  Banking ban,2021-10-15,"[10.781673428456726, 11.089930604627318]","[11.057219140425318, 10.433527395225923]"
Russia,Legal to mine  Banking ban,2022-01-05,"[10.830957562768319, 10.635076296637267]","[11.404003057746042, 11.466776808944248]"
Russia,Legal to mine  Banking ban,2022-01-06,"[10.831611989115826, 10.631328387642096]","[10.938272178458073, 10.743329112246878]"
Samoa,Legal,,[],[]
Saudi Arabia,Legal /  Banking ban,2017-07-04,"[7.833639842527613, 7.940939762327791]","[10.99339540057409, 11.128732492137603]"
Saudi Arabia,Legal /  Banking ban,2017-07-17,"[7.884237597750166, 8.386492075491587]","[11.471582501435845, 11.634257750137753]"
Saudi Arabia,Legal /  Banking ban,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Singapore,Legal,2014-01-09,"[6.940899877574439, 6.475124502801203]","[10.003332887505843, 10.038018445493734]"
Singapore,Legal,2014-01-11,"[6.802394763324311, 6.367500844525334]","[9.201299627324033, 10.599879463260962]"
Singapore,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Singapore,Legal,2013-12-23,"[6.724433221854599, 6.85751406254539]","[9.966931725092662, 8.472195825485501]"
Singapore,Legal,2013-12-27,"[6.984623723238714, 6.914730892718563]","[10.541650424763313, 9.478074806618269]"
Singapore,Legal,,[],[]
Singapore,Legal,2013-09-22,"[4.774912960575186, 5.313205979041787]","[9.876630098366245, 10.430284945811817]"
