"","hits","date","keyword","geo","time","gprop","category"
"178","54",2023-03-22 17:52:00,"Bitcoin","US","now 1-d","web",0
"179","67",2023-03-22 18:00:00,"Bitcoin","US","now 1-d","web",0
"180","31",2023-03-21 18:16:00,"Bitcoin","IN","now 1-d","web",0
"181","30",2023-03-21 18:24:00,"Bitcoin","IN","now 1-d","web",0
"182","33",2023-03-21 18:32:00,"Bitcoin","IN","now 1-d","web",0
"183","30",2023-03-21 18:40:00,"Bitcoin","IN","now 1-d","web",0
"184","36",2023-03-21 18:48:00,"Bitcoin","IN","now 1-d","web",0
"185","32",2023-03-21 18:56:00,"Bitcoin","IN","now 1-d","web",0
"186","33",2023-03-21 19:04:00,"Bitcoin","IN","now 1-d","web",0
"187","33",2023-03-21 19:12:00,"Bitcoin","IN","now 1-d","web",0
"188","33",2023-03-21 19:20:00,"Bitcoin","IN","now 1-d","web",0
"189","36",2023-03-21 19:28:00,"Bitcoin","IN","now 1-d","web",0
"190","37",2023-03-21 19:36:00,"Bitcoin","IN","now 1-d","web",0
"191","33",2023-03-21 19:44:00,"Bitcoin","IN","now 1-d","web",0
"192","32",2023-03-21 19:52:00,"Bitcoin","IN","now 1-d","web",0
"193","40",2023-03-21 20:00:00,"Bitcoin","IN","now 1-d","web",0
"194","31",2023-03-21 20:08:00,"Bitcoin","IN","now 1-d","web",0
"195","33",2023-03-21 20:16:00,"Bitcoin","IN","now 1-d","web",0
"196","42",2023-03-21 20:24:00,"Bitcoin","IN","now 1-d","web",0
"197","38",2023-03-21 20:32:00,"Bitcoin","IN","now 1-d","web",0
"198","54",2023-03-21 20:40:00,"Bitcoin","IN","now 1-d","web",0
"199","37",2023-03-21 20:48:00,"Bitcoin","IN","now 1-d","web",0
"200","48",2023-03-21 20:56:00,"Bitcoin","IN","now 1-d","web",0
"201","38",2023-03-21 21:04:00,"Bitcoin","IN","now 1-d","web",0
"202","51",2023-03-21 21:12:00,"Bitcoin","IN","now 1-d","web",0
"203","30",2023-03-21 21:20:00,"Bitcoin","IN","now 1-d","web",0
"204","23",2023-03-21 21:28:00,"Bitcoin","IN","now 1-d","web",0
"205","32",2023-03-21 21:36:00,"Bitcoin","IN","now 1-d","web",0
"206","24",2023-03-21 21:44:00,"Bitcoin","IN","now 1-d","web",0
"207","31",2023-03-21 21:52:00,"Bitcoin","IN","now 1-d","web",0
"208","43",2023-03-21 22:00:00,"Bitcoin","IN","now 1-d","web",0
"209","51",2023-03-21 22:08:00,"Bitcoin","IN","now 1-d","web",0
"210","33",2023-03-21 22:16:00,"Bitcoin","IN","now 1-d","web",0
"211","32",2023-03-21 22:24:00,"Bitcoin","IN","now 1-d","web",0
"212","44",2023-03-21 22:32:00,"Bitcoin","IN","now 1-d","web",0
"213","44",2023-03-21 22:40:00,"Bitcoin","IN","now 1-d","web",0
"214","35",2023-03-21 22:48:00,"Bitcoin","IN","now 1-d","web",0
"215","40",2023-03-21 22:56:00,"Bitcoin","IN","now 1-d","web",0
"216","47",2023-03-21 23:04:00,"Bitcoin","IN","now 1-d","web",0
"217","30",2023-03-21 23:12:00,"Bitcoin","IN","now 1-d","web",0
"218","22",2023-03-21 23:20:00,"Bitcoin","IN","now 1-d","web",0
"219","37",2023-03-21 23:28:00,"Bitcoin","IN","now 1-d","web",0
"220","31",2023-03-21 23:36:00,"Bitcoin","IN","now 1-d","web",0
"221","32",2023-03-21 23:44:00,"Bitcoin","IN","now 1-d","web",0
"222","31",2023-03-21 23:52:00,"Bitcoin","IN","now 1-d","web",0
"223","24",2023-03-22 00:00:00,"Bitcoin","IN","now 1-d","web",0
"224","22",2023-03-22 00:08:00,"Bitcoin","IN","now 1-d","web",0
"225","18",2023-03-22 00:16:00,"Bitcoin","IN","now 1-d","web",0
"226","22",2023-03-22 00:24:00,"Bitcoin","IN","now 1-d","web",0
"227","23",2023-03-22 00:32:00,"Bitcoin","IN","now 1-d","web",0
"228","24",2023-03-22 00:40:00,"Bitcoin","IN","now 1-d","web",0
"229","30",2023-03-22 00:48:00,"Bitcoin","IN","now 1-d","web",0
"230","28",2023-03-22 00:56:00,"Bitcoin","IN","now 1-d","web",0
"231","23",2023-03-22 01:04:00,"Bitcoin","IN","now 1-d","web",0
"232","28",2023-03-22 01:12:00,"Bitcoin","IN","now 1-d","web",0
"233","22",2023-03-22 01:20:00,"Bitcoin","IN","now 1-d","web",0
"234","25",2023-03-22 01:28:00,"Bitcoin","IN","now 1-d","web",0
"235","21",2023-03-22 01:36:00,"Bitcoin","IN","now 1-d","web",0
"236","20",2023-03-22 01:44:00,"Bitcoin","IN","now 1-d","web",0
"237","24",2023-03-22 01:52:00,"Bitcoin","IN","now 1-d","web",0
"238","21",2023-03-22 02:00:00,"Bitcoin","IN","now 1-d","web",0
"239","29",2023-03-22 02:08:00,"Bitcoin","IN","now 1-d","web",0
"240","24",2023-03-22 02:16:00,"Bitcoin","IN","now 1-d","web",0
"241","26",2023-03-22 02:24:00,"Bitcoin","IN","now 1-d","web",0
"242","24",2023-03-22 02:32:00,"Bitcoin","IN","now 1-d","web",0
"243","28",2023-03-22 02:40:00,"Bitcoin","IN","now 1-d","web",0
"244","24",2023-03-22 02:48:00,"Bitcoin","IN","now 1-d","web",0
"245","25",2023-03-22 02:56:00,"Bitcoin","IN","now 1-d","web",0
"246","23",2023-03-22 03:04:00,"Bitcoin","IN","now 1-d","web",0
"247","29",2023-03-22 03:12:00,"Bitcoin","IN","now 1-d","web",0
"248","27",2023-03-22 03:20:00,"Bitcoin","IN","now 1-d","web",0
"249","24",2023-03-22 03:28:00,"Bitcoin","IN","now 1-d","web",0
"250","29",2023-03-22 03:36:00,"Bitcoin","IN","now 1-d","web",0
"251","26",2023-03-22 03:44:00,"Bitcoin","IN","now 1-d","web",0
"252","23",2023-03-22 03:52:00,"Bitcoin","IN","now 1-d","web",0
"253","25",2023-03-22 04:00:00,"Bitcoin","IN","now 1-d","web",0
"254","26",2023-03-22 04:08:00,"Bitcoin","IN","now 1-d","web",0
"255","26",2023-03-22 04:16:00,"Bitcoin","IN","now 1-d","web",0
"256","26",2023-03-22 04:24:00,"Bitcoin","IN","now 1-d","web",0
"257","25",2023-03-22 04:32:00,"Bitcoin","IN","now 1-d","web",0
"258","25",2023-03-22 04:40:00,"Bitcoin","IN","now 1-d","web",0
"259","23",2023-03-22 04:48:00,"Bitcoin","IN","now 1-d","web",0
"260","25",2023-03-22 04:56:00,"Bitcoin","IN","now 1-d","web",0
"261","25",2023-03-22 05:04:00,"Bitcoin","IN","now 1-d","web",0
"262","22",2023-03-22 05:12:00,"Bitcoin","IN","now 1-d","web",0
"263","24",2023-03-22 05:20:00,"Bitcoin","IN","now 1-d","web",0
"264","27",2023-03-22 05:28:00,"Bitcoin","IN","now 1-d","web",0
"265","22",2023-03-22 05:36:00,"Bitcoin","IN","now 1-d","web",0
"266","22",2023-03-22 05:44:00,"Bitcoin","IN","now 1-d","web",0
"267","24",2023-03-22 05:52:00,"Bitcoin","IN","now 1-d","web",0
"268","20",2023-03-22 06:00:00,"Bitcoin","IN","now 1-d","web",0
"269","22",2023-03-22 06:08:00,"Bitcoin","IN","now 1-d","web",0
"270","22",2023-03-22 06:16:00,"Bitcoin","IN","now 1-d","web",0
"271","22",2023-03-22 06:24:00,"Bitcoin","IN","now 1-d","web",0
"272","21",2023-03-22 06:32:00,"Bitcoin","IN","now 1-d","web",0
"273","23",2023-03-22 06:40:00,"Bitcoin","IN","now 1-d","web",0
"274","22",2023-03-22 06:48:00,"Bitcoin","IN","now 1-d","web",0
"275","22",2023-03-22 06:56:00,"Bitcoin","IN","now 1-d","web",0
"276","23",2023-03-22 07:04:00,"Bitcoin","IN","now 1-d","web",0
"277","24",2023-03-22 07:12:00,"Bitcoin","IN","now 1-d","web",0
"278","22",2023-03-22 07:20:00,"Bitcoin","IN","now 1-d","web",0
"279","22",2023-03-22 07:28:00,"Bitcoin","IN","now 1-d","web",0
"280","19",2023-03-22 07:36:00,"Bitcoin","IN","now 1-d","web",0
"281","18",2023-03-22 07:44:00,"Bitcoin","IN","now 1-d","web",0
"282","20",2023-03-22 07:52:00,"Bitcoin","IN","now 1-d","web",0
"283","20",2023-03-22 08:00:00,"Bitcoin","IN","now 1-d","web",0
"284","19",2023-03-22 08:08:00,"Bitcoin","IN","now 1-d","web",0
"285","21",2023-03-22 08:16:00,"Bitcoin","IN","now 1-d","web",0
"286","20",2023-03-22 08:24:00,"Bitcoin","IN","now 1-d","web",0
"287","20",2023-03-22 08:32:00,"Bitcoin","IN","now 1-d","web",0
"288","21",2023-03-22 08:40:00,"Bitcoin","IN","now 1-d","web",0
"289","21",2023-03-22 08:48:00,"Bitcoin","IN","now 1-d","web",0
"290","23",2023-03-22 08:56:00,"Bitcoin","IN","now 1-d","web",0
"291","21",2023-03-22 09:04:00,"Bitcoin","IN","now 1-d","web",0
"292","20",2023-03-22 09:12:00,"Bitcoin","IN","now 1-d","web",0
"293","21",2023-03-22 09:20:00,"Bitcoin","IN","now 1-d","web",0
"294","20",2023-03-22 09:28:00,"Bitcoin","IN","now 1-d","web",0
"295","21",2023-03-22 09:36:00,"Bitcoin","IN","now 1-d","web",0
"296","19",2023-03-22 09:44:00,"Bitcoin","IN","now 1-d","web",0
"297","19",2023-03-22 09:52:00,"Bitcoin","IN","now 1-d","web",0
"298","23",2023-03-22 10:00:00,"Bitcoin","IN","now 1-d","web",0
"299","20",2023-03-22 10:08:00,"Bitcoin","IN","now 1-d","web",0
"300","19",2023-03-22 10:16:00,"Bitcoin","IN","now 1-d","web",0
"301","21",2023-03-22 10:24:00,"Bitcoin","IN","now 1-d","web",0
"302","20",2023-03-22 10:32:00,"Bitcoin","IN","now 1-d","web",0
"303","18",2023-03-22 10:40:00,"Bitcoin","IN","now 1-d","web",0
"304","18",2023-03-22 10:48:00,"Bitcoin","IN","now 1-d","web",0
"305","20",2023-03-22 10:56:00,"Bitcoin","IN","now 1-d","web",0
"306","23",2023-03-22 11:04:00,"Bitcoin","IN","now 1-d","web",0
"307","22",2023-03-22 11:12:00,"Bitcoin","IN","now 1-d","web",0
"308","17",2023-03-22 11:20:00,"Bitcoin","IN","now 1-d","web",0
"309","22",2023-03-22 11:28:00,"Bitcoin","IN","now 1-d","web",0
"310","24",2023-03-22 11:36:00,"Bitcoin","IN","now 1-d","web",0
"311","20",2023-03-22 11:44:00,"Bitcoin","IN","now 1-d","web",0
"312","20",2023-03-22 11:52:00,"Bitcoin","IN","now 1-d","web",0
"313","20",2023-03-22 12:00:00,"Bitcoin","IN","now 1-d","web",0
"314","20",2023-03-22 12:08:00,"Bitcoin","IN","now 1-d","web",0
"315","21",2023-03-22 12:16:00,"Bitcoin","IN","now 1-d","web",0
"316","20",2023-03-22 12:24:00,"Bitcoin","IN","now 1-d","web",0
"317","22",2023-03-22 12:32:00,"Bitcoin","IN","now 1-d","web",0
"318","18",2023-03-22 12:40:00,"Bitcoin","IN","now 1-d","web",0
"319","16",2023-03-22 12:48:00,"Bitcoin","IN","now 1-d","web",0
"320","18",2023-03-22 12:56:00,"Bitcoin","IN","now 1-d","web",0
"321","22",2023-03-22 13:04:00,"Bitcoin","IN","now 1-d","web",0
"322","20",2023-03-22 13:12:00,"Bitcoin","IN","now 1-d","web",0
"323","20",2023-03-22 13:20:00,"Bitcoin","IN","now 1-d","web",0
"324","23",2023-03-22 13:28:00,"Bitcoin","IN","now 1-d","web",0
"325","22",2023-03-22 13:36:00,"Bitcoin","IN","now 1-d","web",0
"326","23",2023-03-22 13:44:00,"Bitcoin","IN","now 1-d","web",0
"327","22",2023-03-22 13:52:00,"Bitcoin","IN","now 1-d","web",0
"328","20",2023-03-22 14:00:00,"Bitcoin","IN","now 1-d","web",0
"329","22",2023-03-22 14:08:00,"Bitcoin","IN","now 1-d","web",0
"330","20",2023-03-22 14:16:00,"Bitcoin","IN","now 1-d","web",0
"331","23",2023-03-22 14:24:00,"Bitcoin","IN","now 1-d","web",0
"332","23",2023-03-22 14:32:00,"Bitcoin","IN","now 1-d","web",0
"333","20",2023-03-22 14:40:00,"Bitcoin","IN","now 1-d","web",0
"334","22",2023-03-22 14:48:00,"Bitcoin","IN","now 1-d","web",0
"335","20",2023-03-22 14:56:00,"Bitcoin","IN","now 1-d","web",0
"336","22",2023-03-22 15:04:00,"Bitcoin","IN","now 1-d","web",0
"337","24",2023-03-22 15:12:00,"Bitcoin","IN","now 1-d","web",0
"338","21",2023-03-22 15:20:00,"Bitcoin","IN","now 1-d","web",0
"339","22",2023-03-22 15:28:00,"Bitcoin","IN","now 1-d","web",0
"340","20",2023-03-22 15:36:00,"Bitcoin","IN","now 1-d","web",0
"341","21",2023-03-22 15:44:00,"Bitcoin","IN","now 1-d","web",0
"342","21",2023-03-22 15:52:00,"Bitcoin","IN","now 1-d","web",0
"343","21",2023-03-22 16:00:00,"Bitcoin","IN","now 1-d","web",0
"344","21",2023-03-22 16:08:00,"Bitcoin","IN","now 1-d","web",0
"345","22",2023-03-22 16:16:00,"Bitcoin","IN","now 1-d","web",0
"346","21",2023-03-22 16:24:00,"Bitcoin","IN","now 1-d","web",0
"347","23",2023-03-22 16:32:00,"Bitcoin","IN","now 1-d","web",0
"348","23",2023-03-22 16:40:00,"Bitcoin","IN","now 1-d","web",0
