snapped_at,price (open),market_cap,total_volume
2022-02-28 00:00:00 UTC,0.132079649,2619595.53,242.7764419
2022-03-01 00:00:00 UTC,0.148913246,2943915.288,207.1408164
2022-03-02 00:00:00 UTC,0.137925477,2721851.043,456.1283579
2022-03-03 00:00:00 UTC,0.131068299,2592868.372,118.4044361
2022-03-04 00:00:00 UTC,0.132461493,2618675.132,153.5049557
2022-03-05 00:00:00 UTC,0.121426972,2396745.043,648.336425
2022-03-06 00:00:00 UTC,0.122204093,2413989.931,106.7347886
2022-03-07 00:00:00 UTC,0.118526705,2342540.529,88.17213257
2022-03-08 00:00:00 UTC,0.117210487,2323266.967,688.8783289
2022-03-09 00:00:00 UTC,0.120092876,2373135.539,57.05784486
2022-03-10 00:00:00 UTC,0.129307658,2557404.672,96.72569496
2022-03-11 00:00:00 UTC,0.122294872,2422156.037,79.30281192
2022-03-12 00:00:00 UTC,0.119590184,2368348.064,207.1030412
2022-03-13 00:00:00 UTC,0.119591896,2364251.808,195.6036971
2022-03-14 00:00:00 UTC,0.115813273,2289550.963,76.6273206
2022-03-15 00:00:00 UTC,0.121913513,2411022.352,225.9804887
2022-03-16 00:00:00 UTC,0.121866684,2421460.907,201.4142375
2022-03-17 00:00:00 UTC,0.125019019,2447829.162,118.6603633
2022-03-18 00:00:00 UTC,0.125020197,2471565.677,114.8559978
2022-03-19 00:00:00 UTC,0.12420884,2457600.428,95.60297559
2022-03-20 00:00:00 UTC,0.126359504,2496969.896,553.3800797
2022-03-21 00:00:00 UTC,0.118059653,2331948.325,97.1037463
2022-03-22 00:00:00 UTC,0.121334718,2399886.806,137.5779043
2022-03-23 00:00:00 UTC,0.120835459,2367408.017,274.3327019
2022-03-24 00:00:00 UTC,0.121246677,2390338.157,150.7313307
2022-03-25 00:00:00 UTC,0.125212917,2475140.065,158.3740361
2022-03-26 00:00:00 UTC,0.117494683,2322791.301,131.6413145
2022-03-27 00:00:00 UTC,0.115706355,2287437.264,95.27692153
2022-03-28 00:00:00 UTC,0.121450472,2395651.225,222.2613141
2022-03-29 00:00:00 UTC,0.114651767,2268696.206,117.3863761
2022-03-30 00:00:00 UTC,0.119023282,2353010.693,175.0957108
2022-03-31 00:00:00 UTC,0.113445832,2244440.378,172.6696954
2022-04-01 00:00:00 UTC,0.110029068,2176693.558,209.9456994
2022-04-02 00:00:00 UTC,0.113290368,2238087.911,141.9723033
2022-04-03 00:00:00 UTC,0.115731397,2296440.294,248.2191971
2022-04-04 00:00:00 UTC,0.113640544,2246597.555,257.0055067
2022-04-05 00:00:00 UTC,0.121162775,2401620.719,443.5834316
2022-04-06 00:00:00 UTC,0.118724767,2347109.241,78.42303914
2022-04-07 00:00:00 UTC,0.123177404,2435134.895,275.0118202
2022-04-08 00:00:00 UTC,0.122031812,2414079.343,114.1780474
2022-04-09 00:00:00 UTC,0.118340082,2335346.071,126.6018545
2022-04-10 00:00:00 UTC,0.115501237,2283382.221,233.3641288
2022-04-11 00:00:00 UTC,0.10791735,2133453.836,137.6107402
2022-04-12 00:00:00 UTC,0.101538495,2007348.134,184.7080867
2022-04-13 00:00:00 UTC,0.114574514,2262191.642,355.6078414
2022-04-14 00:00:00 UTC,0.117504595,2322987.253,64.58393476
2022-04-15 00:00:00 UTC,0.113904545,2251816.678,80.7644832
