Timezones are UTC,https://www.CryptoDataDownload.com,,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
1528588800,6/10/2018,MONAJPY,359.1,360.8,316,324.6,91449,31121496.8
1528502400,6/9/2018,MONAJPY,361,364.9,359.1,359.1,22055,7970670.4
1528416000,6/8/2018,MONAJPY,366,366.7,360.3,361,19772,7165338.7
1528329600,6/7/2018,MONAJPY,363.9,368.5,362.6,366,42810,15642488.7
1528243200,6/6/2018,MONAJPY,366.5,368.8,362,363.9,37916,13849579.7
1528156800,6/5/2018,MONAJPY,364.2,370,361.1,366.5,45295,16507229.9
1528070400,6/4/2018,MONAJPY,373.9,384,363.3,364.2,75270,28022788.1
1527984000,6/3/2018,MONAJPY,369.6,378.3,369.6,373.9,51731,19355667.1
1527897600,6/2/2018,MONAJPY,368.8,375.2,367.3,369.6,46969,17426221.2
1527811200,6/1/2018,MONAJPY,370,370,365,368.8,32518,11966559
1527724800,5/31/2018,MONAJPY,363.7,370.9,361,370,65460,23968284.3
1527638400,5/30/2018,MONAJPY,369.9,374.5,360.1,363.7,87150,32153378.6
1527552000,5/29/2018,MONAJPY,377.5,385,366.2,369.9,78084,29023135.3
1527465600,5/28/2018,MONAJPY,373.1,389.7,371,377.5,82670,31383238.7
1527379200,5/27/2018,MONAJPY,372.4,376,368,373.1,40327,15004724.8
1527292800,5/26/2018,MONAJPY,369.1,377,366.9,372.4,33723,12573075.9
1527206400,5/25/2018,MONAJPY,375.2,383.4,366.1,369.1,104150,38963527.8
1527120000,5/24/2018,MONAJPY,372.1,387.8,363.5,375.2,69181,25825165.8
1527033600,5/23/2018,MONAJPY,377.2,399.9,363.5,372.1,107871,40806448.1
1526947200,5/22/2018,MONAJPY,396.9,399,375.5,377.2,45359,17576902.8
1526860800,5/21/2018,MONAJPY,406,408.6,390,396.9,44649,17920699.6
1526774400,5/20/2018,MONAJPY,400,410,395,406,72075,29007728.8
1526688000,5/19/2018,MONAJPY,412,417.6,396,400,94987,38889366.8
1526601600,5/18/2018,MONAJPY,370.1,440,370.1,412,291965,117069532.8
1526515200,5/17/2018,MONAJPY,417.5,423.6,365.2,370.1,207677,81595284.8
1526428800,5/16/2018,MONAJPY,440.5,445,403.3,417.5,91276,38452883
1526342400,5/15/2018,MONAJPY,450,457.9,440.5,440.5,67844,30462849.2
1526256000,5/14/2018,MONAJPY,465.8,472,436.5,450,112827,51068789.2
1526169600,5/13/2018,MONAJPY,438,475,430.6,465.8,73618,33016151.6
1526083200,5/12/2018,MONAJPY,421.3,458,415.4,438,113141,49256113.9
1525996800,5/11/2018,MONAJPY,472.1,482,410.2,421.3,178012,79534918.3
1525910400,5/10/2018,MONAJPY,498.2,504,470,472.1,94013,45913801.9
1525824000,5/9/2018,MONAJPY,493.8,510,468.6,498.2,113067,55631555
1525737600,5/8/2018,MONAJPY,497.7,544,488,493.8,205318,105648093.5
1525651200,5/7/2018,MONAJPY,540,544,477,497.7,237582,117701968.7
1525564800,5/6/2018,MONAJPY,566,567.9,524,540,135461,73989462.3
1525478400,5/5/2018,MONAJPY,561.1,572,560,566,112376,63550336
1525392000,5/4/2018,MONAJPY,575.4,576.5,560,561.1,74057,41875730.1
1525305600,5/3/2018,MONAJPY,568.1,578,562,575.4,127484,72735613.4
1525219200,5/2/2018,MONAJPY,556.1,579.9,553,568.1,159272,90314074.7
1525132800,5/1/2018,MONAJPY,574.8,579.2,535,556.1,157671,86583593.5
1525046400,4/30/2018,MONAJPY,586,598,563,574.8,162644,93662711.9
1524960000,4/29/2018,MONAJPY,595,603,550,586,205170,118459549.9
1524873600,4/28/2018,MONAJPY,611.3,615.7,565,595,308232,183247321.9
1524787200,4/27/2018,MONAJPY,554.5,649.3,554.5,611.3,752341,463820108.6
1524700800,4/26/2018,MONAJPY,473.4,588,470.9,554.5,782689,423300902.1
1524614400,4/25/2018,MONAJPY,497,510,433.7,473.4,451587,215920953.7
